mode,cohort_filter,wave,company_count,top_company_count,top_company_rate,public_count,public_rate,acquired_count,acquired_rate,public_or_acquired_count,public_or_acquired_rate,inactive_count,inactive_rate
broad,through_2020,Web / Social / UGC,429,11,0.02564102564102564,1,0.002331002331002331,120,0.27972027972027974,121,0.28205128205128205,171,0.3986013986013986
broad,through_2020,Mobile-Enabled Commerce / Marketplaces,579,19,0.03281519861830743,5,0.008635578583765112,120,0.20725388601036268,125,0.2158894645941278,198,0.34196891191709844
broad,through_2020,Fintech,382,22,0.05759162303664921,3,0.007853403141361256,94,0.24607329842931938,97,0.25392670157068065,69,0.1806282722513089
broad,through_2020,Crypto / Web3,72,2,0.027777777777777776,1,0.013888888888888888,14,0.19444444444444445,15,0.20833333333333334,15,0.20833333333333334
broad,through_2020,Generative AI / Agents,101,1,0.009900990099009901,1,0.009900990099009901,15,0.1485148514851485,16,0.15841584158415842,8,0.07920792079207921
broad,through_2020,Other,913,34,0.03723986856516977,12,0.013143483023001095,229,0.2508214676889376,241,0.26396495071193865,288,0.3154435925520263
