mode,cohort_filter,wave,company_count,top_company_count,top_company_rate,public_count,public_rate,acquired_count,acquired_rate,public_or_acquired_count,public_or_acquired_rate,inactive_count,inactive_rate
strict,all_included_batches,Web / Social / UGC,403,7,0.017369727047146403,0,0.0,90,0.22332506203473945,90,0.22332506203473945,151,0.3746898263027295
strict,all_included_batches,Mobile-Enabled Commerce / Marketplaces,867,18,0.020761245674740483,6,0.006920415224913495,117,0.13494809688581316,123,0.14186851211072665,222,0.2560553633217993
strict,all_included_batches,Fintech,845,18,0.021301775147928994,1,0.001183431952662722,109,0.1289940828402367,110,0.1301775147928994,102,0.12071005917159763
strict,all_included_batches,Crypto / Web3,158,2,0.012658227848101266,1,0.006329113924050633,22,0.13924050632911392,23,0.14556962025316456,29,0.18354430379746836
strict,all_included_batches,Generative AI / Agents,436,0,0.0,0,0.0,32,0.07339449541284404,32,0.07339449541284404,40,0.09174311926605505
strict,all_included_batches,Other,3207,46,0.014343623323978797,15,0.004677268475210477,411,0.12815715622076707,426,0.13283442469597756,491,0.15310258808855629
